lv2 1.18.10-1
lvm2 2.03.22-2
lz4 1:1.9.4-1
lzo 2.10-5
m4 1.4.19-3
mailcap 2.1.54-1
make 4.4.1-2
man-db 2.12.0-1
man-pages 6.05.01-2
marisa 0.2.6-11
md4c 0.4.8-1
mdadm 4.2-2
media-player-info 24-2
mesa 1:23.2.1-2
meson 1.3.0-1
minizip 1:1.3-2
mkinitcpio 37.1-1
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20230416-1
mpfr 4.2.1-1
mpg123 1.32.3-1
msgpack-c 5.0.0-1
mtdev 1.1.6-2
nano 7.2-1
ncurses 6.4_20230520-1
neofetch 7.1.0-2
neovim 0.9.4-2
net-tools 2.10-2
netavark 1.9.0-1
nettle 3.9.1-1
networkmanager 1.44.2-3
networkmanager-dmenu-git r181.382f101-1
networkmanager-openvpn 1.10.2-3
networkmanager-strongswan 1.6.0-1
nftables 1:1.0.9-1
ninja 1.11.1-3
nm-connection-editor 1.34.0-1
nnn 4.9-1
node-gyp 10.0.1-1
nodejs 21.4.0-1
nodejs-nopt 7.2.0-1
noto-fonts-cjk 20230817-1
npm 10.2.5-1
npth 1.6-4
nspr 4.35-1
nss 3.95-1
ocl-icd 2.3.2-1
onevpl 2023.4.0-1
oniguruma 6.9.9-1
openal 1.23.1-1
opencc 1.1.7-1
opencore-amr 0.1.6-1
openexr 3.2.1-1
openjpeg2 2.5.0-3
openmpi 4.1.5-5
openpmix 4.2.6-1
openssh 9.5p1-1
openssl 3.1.4-1
openvpn 2.6.8-1
opus 1.4-1
orc 0.4.34-1
ostree 2023.8-1
p11-kit 0.25.3-1
pacman 6.0.2-8
pacman-mirrorlist 20231001-1
pam 1.5.3-3
pambase 20230918-1
pango 1:1.51.1-1
parted 3.6-1
paru 1.11.1-1
passim 0.1.4-1
patch 2.7.6-10
pciutils 3.10.0-1
pcre 8.45-4
pcre2 10.42-2
pcsclite 2.0.1-1
perl 5.38.1-1
perl-error 0.17029-5
perl-mailtools 2.21-7
perl-timedate 2.33-5
phonon-qt5 4.12.0-3
phonon-qt5-gstreamer 4.10.0-4
pinentry 1.2.1-3
pipewire 1:1.0.0-2
pipewire-alsa 1:1.0.0-2
pipewire-audio 1:1.0.0-2
pipewire-jack 1:1.0.0-2
pipewire-pulse 1:1.0.0-2
pixman 0.42.2-1
pkcs11-helper 1.30.0-1
pkgconf 2.1.0-2
playerctl 2.4.1-3
podman 4.8.1-1
polkit 123-1
polkit-kde-agent 5.27.10-1
polkit-qt5 0.175.0-1
poppler 23.12.0-1
poppler-qt5 23.12.0-1
popt 1.19-1
portaudio 1:19.7.0-2
powertop 2.15-1
procps-ng 4.0.4-2
protobuf 25.1-1
protobuf-c 1.4.1-5
psmisc 23.6-1
python 3.11.6-1
python-annotated-types 0.6.0-1
python-autocommand 2.2.2-4
python-charset-normalizer 3.3.2-1
python-fastjsonschema 2.19.0-1
python-gobject 3.46.0-1
python-idna 3.4-3
python-inflect 7.0.0-2
python-jaraco.context 4.3.0-3
python-jaraco.functools 3.9.0-1
python-jaraco.text 3.11.1-3
python-more-itertools 10.1.0-1
python-ordered-set 4.1.0-4
python-packaging 23.2-1
python-pilkit 3.0-1
python-pillow 10.1.0-2
python-platformdirs 4.1.0-1
python-protobuf 25.1-1
python-pydantic 2.5.2-1
python-pydantic-core 1:2.14.5-1
python-requests 2.31.0-1
python-setuptools 1:69.0.0-1
python-tomli 2.0.1-3
python-tqdm 4.66.1-2
python-trove-classifiers 2023.11.29-1
python-typing_extensions 4.9.0-1
python-urllib3 1.26.18-1
python-validate-pyproject 0.13-1
qca-qt5 2.3.7-2
qqc2-desktop-style5 5.112.0-1
qt5-base 5.15.11+kde+r147-1
qt5-declarative 5.15.11+kde+r32-1
qt5-graphicaleffects 5.15.11-1
qt5-location 5.15.11+kde+r5-1
qt5-multimedia 5.15.11+kde+r2-1
qt5-quickcontrols 5.15.11-1
qt5-quickcontrols2 5.15.11+kde+r5-1
qt5-speech 5.15.11+kde+r1-1
qt5-svg 5.15.11+kde+r6-1
qt5-tools 5.15.11+kde+r4-1
qt5-translations 5.15.11-1
qt5-wayland 5.15.11+kde+r60-1
qt5-webchannel 5.15.11+kde+r3-1
qt5-webengine 5.15.15-2
qt5-x11extras 5.15.11-1
qt5ct-kde 1.8-1
qt6-base 6.6.1-1
qt6-declarative 6.6.1-1
qt6-svg 6.6.1-1
qt6-translations 6.6.1-1
qt6-wayland 6.6.1-1
rav1e 0.6.6-3
readline 8.2.007-1
rhash 1.4.4-1
ripgrep 14.0.3-1
rsync 3.2.7-6
rtkit 0.13-2
rubberband 3.3.0-1
run-parts 5.5-1
rustup 1.26.0-5
sbc 2.0-1
sdbus-cpp 1.3.0-1
sddm 0.20.0-2
sdl2 2.28.5-1
seatd 0.8.0-1
sed 4.9-3
semver 7.5.4-1
serd 0.32.0-1
shaderc 2023.7-2
shadow 4.14.2-1
shared-mime-info 2.4-1
slang 2.3.3-2
slirp4netns 1.2.2-1
slurp 1.4.0-1
smartmontools 7.4-1
smbclient 4.19.3-1
snappy 1.1.10-1
socat 1.7.4.4-1
sof-firmware 2023.09.2-1
solid5 5.112.0-1
sonnet5 5.112.0-1
sord 0.16.16-1
sound-theme-freedesktop 0.8-5
speex 1.2.1-1
